window	num_games	average_win_rate	standard_deviation
433	151297	0.5066035678	0.1557495819
434	150919	0.5065359564	0.155806793
435	150534	0.5064038689	0.1558933185
436	150125	0.5066731057	0.1559302323
437	149749	0.5070010484	0.1558644245
438	149376	0.5071243038	0.1557196078
439	148995	0.5068700292	0.155482119
440	148623	0.5068926075	0.1556733697
441	148265	0.5068937376	0.1555862721
442	147889	0.5070458249	0.1554622783
443	147517	0.5068453127	0.1553968585
444	147195	0.5070056727	0.1551764456
445	146836	0.5071699038	0.1552413944
446	146475	0.5069151732	0.1551449255
447	146150	0.5067889155	0.155036862
448	145818	0.5064703946	0.1550917296
449	145455	0.5064906672	0.1548181674
450	145088	0.5062734341	0.154685984
451	144738	0.5065704929	0.1544941689
452	144360	0.5065759213	0.1548886451
453	144013	0.507011867	0.1549589385
454	143648	0.5068772277	0.1548974032
455	143306	0.5068454915	0.1548553721
456	142983	0.5068966241	0.1549996089
457	142654	0.5068886957	0.1553058333
458	142306	0.5072393293	0.1552699775
459	141953	0.5070868527	0.1552168624
460	141596	0.5074874996	0.1551197369
461	141273	0.5072101534	0.1551381269
462	140972	0.5071007008	0.1549835213
463	140641	0.5067483877	0.1548105456
464	140313	0.5067499091	0.1547067678
465	139988	0.5067012887	0.1548365778
466	139670	0.5068855159	0.1546331827
467	139329	0.5070753397	0.154606973
468	138998	0.5070375113	0.1547061214
469	138697	0.5070571101	0.1552091124
470	138386	0.5068872574	0.1549860623
471	138039	0.5067843146	0.1552533332
472	137681	0.50681285	0.1551593217
473	137315	0.5067851291	0.1555832764
474	136955	0.506787631	0.1557525144
475	136641	0.5066817427	0.1555570788
476	136328	0.5067917082	0.1555027462
477	135994	0.5066855891	0.1555645947
478	135683	0.5063685207	0.1553183211
479	135354	0.5067622678	0.1551224654
480	135051	0.5068714782	0.1551060883
481	134681	0.5066186025	0.1552237643
482	134364	0.5066111458	0.1550394213
483	134040	0.5069979111	0.1549303123
484	133736	0.5072493569	0.1552129444
485	133409	0.5072851157	0.1551884487
486	133083	0.5071910011	0.1549311249
487	132767	0.5069256668	0.155215476
488	132411	0.5067124333	0.1551587525
489	132098	0.5065678511	0.1555063059
490	131801	0.5064384944	0.1554296052
491	131500	0.5066372624	0.1551225934
492	131197	0.5065283505	0.1550661396
493	130856	0.506553769	0.1548096738
494	130525	0.5063405478	0.1546261053
495	130241	0.506309841	0.1547832413
496	129913	0.5062672712	0.1551046839
497	129568	0.5066158311	0.1554628272
498	129272	0.5066897704	0.1554488869
499	128931	0.5067555514	0.1554124913
500	128638	0.506902315	0.1551341892
501	128322	0.5067961846	0.1549513998
502	128001	0.5067968219	0.1549778902
503	127674	0.5066865611	0.1550261186
504	127397	0.506651648	0.1549683575
505	127112	0.5063243439	0.1552312733
506	126803	0.5063034786	0.1548938696
507	126514	0.5056523389	0.1548752451
508	126222	0.5056559078	0.1546174232
509	125919	0.5055408636	0.1547220547
510	125626	0.5052528935	0.154891061
511	125346	0.5054058366	0.1548738295
512	125059	0.5055245924	0.1545440755
513	124769	0.505437248	0.154644255
514	124485	0.5054167169	0.1546353708
515	124183	0.5057568266	0.1551858231
516	123886	0.505721389	0.1548500376
517	123586	0.5062288609	0.1546632189
518	123271	0.5064840879	0.154681504
519	123022	0.5064590073	0.1548778684
520	122714	0.5066121225	0.1550439216
521	122418	0.5063863157	0.1550636169
522	122125	0.506316479	0.1549982657
523	121830	0.5062037265	0.1553164979
524	121509	0.5058802229	0.1548415571
525	121205	0.505941174	0.1553190887
526	120933	0.505995882	0.1552954583
527	120644	0.5059265276	0.1551846627
528	120362	0.5060043868	0.1551214563
529	120110	0.5054358505	0.1550762066
530	119836	0.5052905638	0.1550787404
531	119563	0.5054331189	0.1549630215
532	119279	0.505446055	0.1551471661
533	119002	0.5052747013	0.1546862157
534	118733	0.5058458895	0.1546064265
535	118473	0.5056080288	0.1545255085
536	118191	0.5054598066	0.1544911848
537	117932	0.5057414442	0.1543582304
538	117646	0.5054281489	0.1545751937
539	117400	0.5057555366	0.1548940668
540	117126	0.5055939757	0.1548319805
541	116827	0.5054876013	0.1546041823
542	116548	0.5053299928	0.154999538
543	116262	0.505545234	0.1548989838
544	115997	0.5053053096	0.1545596297
545	115701	0.5054139549	0.154673235
546	115430	0.5052118167	0.1547073757
547	115157	0.5050860998	0.154652936
548	114885	0.5052818035	0.1544803176
549	114607	0.5055188601	0.1546214193
550	114329	0.5055279063	0.1547309367
551	114058	0.5056769363	0.1546775516
552	113791	0.505850199	0.1549673035
553	113544	0.5057871838	0.1548269604
554	113269	0.5060554962	0.1546883756
555	112973	0.5056579891	0.154790476
556	112724	0.5059100103	0.1546880098
557	112484	0.5058381636	0.1547068633
558	112210	0.5056305142	0.1549033018
559	111947	0.5058911806	0.1549227002
560	111673	0.506226214	0.1550010713
561	111445	0.5063322715	0.154883457
562	111197	0.506437224	0.1548166745
563	110947	0.5066590354	0.1548510235
564	110696	0.5063832478	0.1551024904
565	110433	0.5068331024	0.1548389931
566	110176	0.5067319561	0.1547327044
567	109940	0.5064262325	0.1548315282
568	109666	0.5063976073	0.1548730462
569	109412	0.5061583739	0.1548291157
570	109161	0.505643041	0.1543915602
571	108868	0.5056187309	0.1542633948
572	108611	0.5054745836	0.1547195375
573	108365	0.5055073132	0.1545935543
574	108124	0.5055538086	0.1546737416
575	107886	0.5054974696	0.1548003867
576	107659	0.5053492973	0.1547601648
577	107418	0.5059086931	0.1547175259
578	107125	0.5060434072	0.1548918393
579	106867	0.5059999813	0.154904378
580	106609	0.5065491656	0.1549711354
581	106337	0.5063242333	0.1551973757
582	106086	0.5062939502	0.1551304351
583	105823	0.5062869131	0.1551002489
584	105569	0.5062518353	0.1548911372
585	105334	0.5064499592	0.1549052967
586	105074	0.5066591164	0.1549074958
587	104830	0.5066555375	0.1549675533
588	104571	0.5063401899	0.1550455922
